code,tên bệnh VI,tên bệnh EN,synonym
A08.2,Viêm ruột do Adenovirus,Adenoviral enteritis,nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiễm trùng đường ruột do virus và tác nhân xác định khác | viem ruot do adenovirus
A08.3,Viêm ruột do virus khác,Other viral enteritis,nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiễm trùng đường ruột do virus và tác nhân xác định khác | viem ruot do virus khac
A08.4,"Nhiễm trùng đường ruột do virus, không xác định","Viral intestinal infection, unspecified","nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiem trung duong ruot do virus, khong xac dinh | nhiễm trùng đường ruột do virus và tác nhân xác định khác"
A08.5,"Nhiễm trùng đường ruột, xác định khác",Other specified intestinal infections,"nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiem trung duong ruot, xac dinh khac | nhiễm trùng đường ruột do virus và tác nhân xác định khác"
A09,Viêm dạ dày - ruột và đại tràng do nguyên nhân nhiễm trùng và chưa xác định được nguồn gốc nhiễm trùng,Other gastroenteritis and colitis of infectious and unspecified origin,viem da day - ruot va dai trang do nguyen nhan nhiem trung va chua xac dinh duoc nguon goc nhiem trung
A09.0,Viêm dạ dày - ruột và đại tràng khác do nhiễm trùng và không xác định,Other and unspecified gastroenteritis and colitis of infectious origin,viem da day - ruot va dai trang do nguyen nhan nhiem trung va chua xac dinh duoc nguon goc nhiem trung | viem da day - ruot va dai trang khac do nhiem trung va khong xac dinh | viêm dạ dày - ruột và đại tràng do nguyên nhân nhiễm trùng và chưa xác định được nguồn gốc nhiễm trùng
A09.9,Viêm dạ dày - ruột và viêm đại tràng khác không rõ nguyên nhân,Gastroenteritis and colitis of unspecified origin,viem da day - ruot va dai trang do nguyen nhan nhiem trung va chua xac dinh duoc nguon goc nhiem trung | viem da day - ruot va viem dai trang khac khong ro nguyen nhan | viêm dạ dày - ruột và đại tràng do nguyên nhân nhiễm trùng và chưa xác định được nguồn gốc nhiễm trùng
A15,"Lao hô hấp, có xác nhận về vi khuẩn học và mô học","Respiratory tuberculosis, bacteriologically and histologically confirmed","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc"
A15.0,"Lao phổi, xác nhận bằng soi đờm có cấy hoặc không cấy đờm","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao phoi, xac nhan bang soi dom co cay hoac khong cay dom"
A15.1,"Lao phổi, chỉ xác nhận bằng nuôi cấy","Tuberculosis of lung, confirmed by culture only","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao phoi, chi xac nhan bang nuoi cay"
A15.2,"Lao phổi, xác nhận về mô học","Tuberculosis of lung, confirmed histologically","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao phoi, xac nhan ve mo hoc"
A15.3,Lao phổi được xác nhận bằng những phương pháp không xác định,"Tuberculosis of lung, confirmed by unspecified means","lao ho hap, co xac nhan ve vi khuan hoc va mo hoc | lao hô hấp, có xác nhận về vi khuẩn học và mô học | lao phoi duoc xac nhan bang nhung phuong phap khong xac dinh"
