code,tên bệnh VI,tên bệnh EN,synonym
V97.8,Các tai nạn hàng không khác chưa phân loại nơi khác,"Other air transport accidents, not elsewhere classified",cac tai nan do phuong tien bay dac biet khac | cac tai nan hang khong khac chua phan loai noi khac | các tai nạn do phương tịên bay đặc biệt khác
V98,Các Tai nạn do xe cộ khác,Other specified transport accidents,cac tai nan do xe co khac
V99,Tai nạn xe cộ không rõ đặc điểm,Unspecified transport accident,tai nan xe co khong ro dac diem
W00,Ngã trên cùng một mặt bằng liên quan băng và tuyết,Fall on same level involving ice and snow,nga tren cung mot mat bang lien quan bang va tuyet
W01,"Ngã trên cùng mặt bằng do trượt, vấp và lộn nhào","Fall on same level from slipping, tripping and stumbling","nga tren cung mat bang do truot, vap va lon nhao"
W02,"Ngã liên quan trượt băng, ski, trượt bánh xe (patanh) hay trên thanh trượt","Fall involving ice-skates, skis, roller-skates or skateboards","nga lien quan truot bang, ski, truot banh xe (patanh) hay tren thanh truot"
W03,"Ngã khác trên cùng mặt bằng do va chạm với, bị đẩy bởi người khác","Other fall on same level due to collision with, or pushing by, another person","nga khac tren cung mat bang do va cham voi, bi day boi nguoi khac"
W04,"Ngã khi đang được người khác bế, vác",Fall while being carried or supported by other persons,"nga khi dang duoc nguoi khac be, vac"
W05,Ngã liên quan đến ghế xe đẩy,Fall involving wheelchair,nga lien quan den ghe xe day
W06,Ngã liên quan đến giường,Fall involving bed,nga lien quan den giuong
W07,Ngã ghế,Fall involving chair,nga ghe
W08,Ngã liên quan đến đồ đạc khác,Fall involving other furniture,nga lien quan den do dac khac
W09,Ngã liên quan đến đồ chơi ở sân,Fall involving playground equipment,nga lien quan den do choi o san
W10,"Ngã trên và từ bậc thang, bậc thềm",Fall on and from stairs and steps,"nga tren va tu bac thang, bac them"
W11,Ngã trên và từ thang,Fall on and from ladder,nga tren va tu thang
W12,Ngã trên và từ dàn giáo,Fall on and from scaffolding,nga tren va tu dan giao
W13,"Ngã từ, ra ngoài hay qua nhà, kiến trúc","Fall from, out of or through building or structure","nga tu, ra ngoai hay qua nha, kien truc"
W14,Ngã cây,Fall from tree,nga cay
W15,Ngã vách đá,Fall from cliff,nga vach da
W16,Nhẩy lao đầu hay nhẩy xuống nước gây chấn thương khác với ngã xuống nước hay ngập nước,Diving or jumping into water causing injury other than drowning or submersion,nhay lao dau hay nhay xuong nuoc gay chan thuong khac voi nga xuong nuoc hay ngap nuoc
W17,Ngã khác từ một mức này đến mức khác,Other fall from one level to another,nga khac tu mot muc nay den muc khac
W18,Ngã khác cùng mức,Other fall on same level,nga khac cung muc
W19,Ngã không rõ đặc điểm,Unspecified fall,nga khong ro dac diem
W20,"Bị tác động của vật ném, tung hay đang rơi","Struck by thrown, projected or falling object","bi tac dong cua vat nem, tung hay dang roi"
W21,Va phải hay bị đập bởi dụng cụ thể thao,Striking against or struck by sports equipment,va phai hay bi dap boi dung cu the thao
W22,Va phải hay bị đập bởi vật khác,Striking against or struck by other objects,va phai hay bi dap boi vat khac
W23,"Bị bắt, kẹp, ép hay cấu trong hay giữa các vật","Caught, crushed, jammed or pinched in or between objects","bi bat, kep, ep hay cau trong hay giua cac vat"
W24,"Tiếp xúc với dụng cụ nâng, truyền không được xếp loại ở nơi khác","Contact with lifting and transmission devices, not elsewhere classified","tiep xuc voi dung cu nang, truyen khong duoc xep loai o noi khac"
W25,Tiếp xúc với kính nhọn,Contact with sharp glass,tiep xuc voi kinh nhon
W26,"Tiếp xúc với dao, kiếm, dao găm","Contact with knife, sword or dagger","tiep xuc voi dao, kiem, dao gam"
W27,Tiếp xúc với dụng cụ thủ công không động cơ,Contact with nonpowered hand tool,tiep xuc voi dung cu thu cong khong dong co
W28,Tiếp xúc với máy xén cỏ,Contact with powered lawnmower,tiep xuc voi may xen co
W29,Tiếp xúc với dụng cụ thủ công có động cơ khác và máy nội trợ,Contact with other powered hand tools and household machinery,tiep xuc voi dung cu thu cong co dong co khac va may noi tro
W30,Tiếp xúc với máy nông nghiệp,Contact with agricultural machinery,tiep xuc voi may nong nghiep
W31,Tiếp xúc với máy khác không rõ đặc điểm,Contact with other and unspecified machinery,tiep xuc voi may khac khong ro dac diem
W32,Đạn súng tay,Handgun discharge,dan sung tay
W33,"Đạn súng có rãnh xoắn, súng ngắn, súng dài","Rifle, shotgun and larger firearm discharge","dan sung co ranh xoan, sung ngan, sung dai"
W34,Đạn của súng tay khác không rõ đặc điểm,Discharge from other and unspecified firearms,dan cua sung tay khac khong ro dac diem
W35,Nổ vỡ bình hơi nước,Explosion and rupture of boiler,no vo binh hoi nuoc
W36,"Nổ, vỡ bình ga",Explosion and rupture of gas cylinder,"no, vo binh ga"
W37,"Nổ và vỡ lốp, ống dẫn hay vòi có điều hòa áp lực","Explosion and rupture of pressurized tyre, pipe or hose","no va vo lop, ong dan hay voi co dieu hoa ap luc"
W38,Nổ và vỡ các dụng cụ khác không rõ đặc điểm có điều hòa áp lực,Explosion and rupture of other specified pressurized devices,no va vo cac dung cu khac khong ro dac diem co dieu hoa ap luc
W39,Nổ pháo hoa,Discharge of firework,no phao hoa
W40,Nổ vật tư khác,Explosion of other materials,no vat tu khac
W41,Bị ảnh hưởng tia áp lực cao,Exposure to high-pressure jet,bi anh huong tia ap luc cao
W42,Ảnh hưởng tiếng ồn,Exposure to noise,anh huong tieng on
W43,ảnh hưởng độ rung,Exposure to vibration,anh huong do rung
W44,Dị vật vào trong hay đi qua mắt hay lỗ tự nhiên,Foreign body entering into or through eye or natural orifice,di vat vao trong hay di qua mat hay lo tu nhien
W45,Dị vật vào qua da,Foreign body or object entering through skin,di vat vao qua da
W46,Tiếp xúc với kim tiêm dưới da,Contact with hypodermic needle,tiep xuc voi kim tiem duoi da
W49,Bị ảnh hưởng của lực cơ học bất động khác không rõ đặc điểm,Exposure to other and unspecified inanimate mechanical forces,bi anh huong cua luc co hoc bat dong khac khong ro dac diem
W50,"Bị người khác đập đánh, đá, vặn, cắn, cào","Hit, struck, kicked, twisted, bitten or scratched by another person","bi nguoi khac dap danh, da, van, can, cao"
W51,Bị người khác đánh lại hay húc vào,Striking against or bumped into by another person,bi nguoi khac danh lai hay huc vao
W52,"Bị đám đông hay đám người chạy toán loạn ép, đẩy hay dẫm lên","Crushed, pushed or stepped on by crowd or human stampede","bi dam dong hay dam nguoi chay toan loan ep, day hay dam len"
W53,Chuột cắn,Bitten by rat,chuot can
W54,"Bị chó cắn, đả thương",Bitten or struck by dog,"bi cho can, da thuong"
W55,"Cắn, đả thương do loài động vật có vú khác",Bitten or struck by other mammals,"can, da thuong do loai dong vat co vu khac"
W56,Tiếp xúc với động vật có vú ở dưới nước,Contact with marine animal,tiep xuc voi dong vat co vu o duoi nuoc
W57,Bị côn trùng không có nọc và các loài tiết túc không có nọc độc cắn hay đốt,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,bi con trung khong co noc va cac loai tiet tuc khong co noc doc can hay dot
W58,"Bị cá sấu, cá sấu Mỹ cắn hay đả thương",Bitten or struck by crocodile or alligator,"bi ca sau, ca sau my can hay da thuong"
W59,Bị loài bò sát khác cắn hay kẹp,Bitten or crushed by other reptiles,bi loai bo sat khac can hay kep
W60,"Tiếp xúc với cây gai, gai, lá nhọn",Contact with plant thorns and spines and sharp leaves,"tiep xuc voi cay gai, gai, la nhon"
W64,Bị ảnh hưởng của lực cơ học không xác định do chuyển động,Exposure to other and unspecified animate mechanical forces,bi anh huong cua luc co hoc khong xac dinh do chuyen dong
W65,"Ngã xuống nước, ngập nước khi ở trong bồn tắm",Drowning and submersion while in bath-tub,"nga xuong nuoc, ngap nuoc khi o trong bon tam"
W66,"Ngã xuống nước, ngập nước sau khi ngã vào bồn tắm",Drowning and submersion following fall into bath-tub,"nga xuong nuoc, ngap nuoc sau khi nga vao bon tam"
W67,"Ngã xuống nước, ngập nước khi ở bể bơi",Drowning and submersion while in swimming-pool,"nga xuong nuoc, ngap nuoc khi o be boi"
W68,NXN hay NN sau khi ngã vào bể bơi,Drowning and submersion following fall into swimming-pool,nxn hay nn sau khi nga vao be boi
W69,"Ngã xuống nước, ngập nước khi ở trong nước tự nhiên",Drowning and submersion while in natural water,"nga xuong nuoc, ngap nuoc khi o trong nuoc tu nhien"
W70,"Ngã xuống nước, ngập nước sau khi ngã xuống nước tự nhiên",Drowning and submersion following fall into natural water,"nga xuong nuoc, ngap nuoc sau khi nga xuong nuoc tu nhien"
W73,"Ngã xuống nước, ngập nước khác có rõ đặc điểm",Other specified drowning and submersion,"nga xuong nuoc, ngap nuoc khac co ro dac diem"
W74,"Ngã xuống nước, ngập nước không rõ đặc điểm",Unspecified drowning and submersion,"nga xuong nuoc, ngap nuoc khong ro dac diem"
W75,"Tai nạn ngạt thở, nghẹt thở trên giường",Accidental suffocation and strangulation in bed,"tai nan ngat tho, nghet tho tren giuong"
W76,Tai nạn treo và thắt nghẹt khác,Other accidental hanging and strangulation,tai nan treo va that nghet khac
W77,"Đe dọa thở do sụt đất, đất rơi và các chất khác","Threat to breathing due to cave-in, falling earth and other substances","de doa tho do sut dat, dat roi va cac chat khac"
W78,Hít phải chất chứa trong dạ dày,Inhalation of gastric contents,hit phai chat chua trong da day
W79,Hít và nuốt thức ăn gây tắc đường hô hấp,Inhalation and ingestion of food causing obstruction of respiratory tract,hit va nuot thuc an gay tac duong ho hap
W80,Hít và nuốt vật khác gây tắc đường thở,Inhalation and ingestion of other objects causing obstruction of respiratory tract,hit va nuot vat khac gay tac duong tho
W81,"Bị nhốt, mắc bẫy trong môi trường oxy thấp",Confined to or trapped in a low-oxygen environment,"bi nhot, mac bay trong moi truong oxy thap"
W83,"Các đe dọa thở khác, biết đặc điểm",Other specified threats to breathing,"cac de doa tho khac, biet dac diem"
W84,Đe dọa thở không rõ đặc điểm,Unspecified threat to breathing,de doa tho khong ro dac diem
W85,Phơi nhiễm dây tải địên,Exposure to electric transmission lines,phoi nhiem day tai dien
W86,Phơi nhiễm dòng điện biết rõ đặc điểm khác,Exposure to other specified electric current,phoi nhiem dong dien biet ro dac diem khac
W87,Phơi nhiễm dòng điện không rõ đặc điểm,Exposure to unspecified electric current,phoi nhiem dong dien khong ro dac diem
W88,Phơi nhiễm tia xạ ion hóa,Exposure to ionizing radiation,phoi nhiem tia xa ion hoa
W89,Phơi nhiễm ánh sáng nhìn thấy nhân tạo và ánh sáng cực tím,Exposure to man-made visible and ultraviolet light,phoi nhiem anh sang nhin thay nhan tao va anh sang cuc tim
W90,Phơi nhiễm tia xạ ion hóa khác,Exposure to other nonionizing radiation,phoi nhiem tia xa ion hoa khac
W91,Phơi nhiễm tia xạ không rõ đặc điểm,Exposure to unspecified type of radiation,phoi nhiem tia xa khong ro dac diem
W92,Phơi nhiễm nhiệt độ cao quá mức do con người tạo ra,Exposure to excessive heat of man-made origin,phoi nhiem nhiet do cao qua muc do con nguoi tao ra
W93,Phơi nhiễm nhiệt lạnh quá mức do con người tạo ra,Exposure to excessive cold of man-made origin,phoi nhiem nhiet lanh qua muc do con nguoi tao ra
W94,"Phơi nhiễm không khí cao áp, hạ áp và thay đổi áp lực",Exposure to high and low air pressure and changes in air pressure,"phoi nhiem khong khi cao ap, ha ap va thay doi ap luc"
W99,Phơi nhiễm với các yếu tố môi trường không đặc hiệu khác do con người tạo ra,Exposure to other and unspecified man-made environmental factors,phoi nhiem voi cac yeu to moi truong khong dac hieu khac do con nguoi tao ra
X00,Phơi nhiễm cháy không kiểm soát được ở tòa nhà hay cấu trúc,Exposure to uncontrolled fire in building or structure,phoi nhiem chay khong kiem soat duoc o toa nha hay cau truc
X01,Phơi nhiễm cháy không kiểm soát được không phải từ nhà hay cấu trúc,"Exposure to uncontrolled fire, not in building or structure",phoi nhiem chay khong kiem soat duoc khong phai tu nha hay cau truc
X02,Phơi nhiễm cháy nhà hay cấu trúc kiểm soát được,Exposure to controlled fire in building or structure,phoi nhiem chay nha hay cau truc kiem soat duoc
X03,Phơi nhiễm cháy kiểm soát được nhưng không phải ở nhà hay cấu trúc,"Exposure to controlled fire, not in building or structure",phoi nhiem chay kiem soat duoc nhung khong phai o nha hay cau truc
X04,Phơi nhiễm của vật rất dễ cháy,Exposure to ignition of highly flammable material,phoi nhiem cua vat rat de chay
X05,Phơi nhiễm quần áo ngủ cháy hay nóng chảy,Exposure to ignition or melting of nightwear,phoi nhiem quan ao ngu chay hay nong chay
X06,Phơi nhiễm áo quần hay dụng cụ bốc cháy hay nóng chảy,Exposure to ignition or melting of other clothing and apparel,phoi nhiem ao quan hay dung cu boc chay hay nong chay
X08,"Phơi nhiễm khói, cháy và lửa rõ đặc điểm khác","Exposure to other specified smoke, fire and flames","phoi nhiem khoi, chay va lua ro dac diem khac"
X09,"Phơi nhiễm khói, cháy và lửa không rõ đặc điểm","Exposure to unspecified smoke, fire and flames","phoi nhiem khoi, chay va lua khong ro dac diem"
X10,"Tiếp xúc với đồ uống, thức ăn, mỡ và dầu ăn nóng","Contact with hot drinks, food, fats and cooking oils","tiep xuc voi do uong, thuc an, mo va dau an nong"
X11,Tiếp xúc với nước máy nóng,Contact with hot tap-water,tiep xuc voi nuoc may nong
X12,Tiếp xúc với chất lỏng nóng khác,Contact with other hot fluids,tiep xuc voi chat long nong khac
X13,Tiếp xúc với hơi nước sôi và hơi nước nóng,Contact with steam and hot vapours,tiep xuc voi hoi nuoc soi va hoi nuoc nong
X14,"Tiếp xúc với không khí nóng, chất hơi nóng",Contact with hot air and gases,"tiep xuc voi khong khi nong, chat hoi nong"
X15,Tiếp xúc với vật dụng trong nhà nóng,Contact with hot household appliances,tiep xuc voi vat dung trong nha nong
X16,"Tiếp xúc với dụng cụ làm nóng, lò sưởi, ống dẫn","Contact with hot heating appliances, radiators and pipes","tiep xuc voi dung cu lam nong, lo suoi, ong dan"
X17,"Tiếp xúc với máy, dụng cụ nóng","Contact with hot engines, machinery and tools","tiep xuc voi may, dung cu nong"
X18,Tiếp xúc với kim loại nóng khác,Contact with other hot metals,tiep xuc voi kim loai nong khac
X19,Tiếp xúc với các vật làm nóng và chất nóng khác không rõ đặc điểm,Contact with other and unspecified heat and hot substances,tiep xuc voi cac vat lam nong va chat nong khac khong ro dac diem
X20,Tiếp xúc với rắn độc và thằn lằn độc,Contact with venomous snakes and lizards,tiep xuc voi ran doc va than lan doc
X21,Tiếp xúc với nhện độc,Contact with venomous spiders,tiep xuc voi nhen doc
X22,Tiếp xúc với bọ cạp,Contact with scorpions,tiep xuc voi bo cap
X23,Tiếp xúc với các loại ong,"Contact with hornets, wasps and bees",tiep xuc voi cac loai ong
X24,Tiếp xúc với các loại rết,Contact with centipedes and venomous millipedes (tropical),tiep xuc voi cac loai ret
X25,"Tiếp xúc với loại tiết túc có nọc độc, biết rõ đặc điểm",Contact with other venomous arthropods,"tiep xuc voi loai tiet tuc co noc doc, biet ro dac diem"
X26,Tiếp xúc với xúc vật và cây độc dưới nước,Contact with venomous marine animals and plants,tiep xuc voi xuc vat va cay doc duoi nuoc
X27,"Tiếp xúc với xúc vật có nọc độc khác, biết rõ đặc điểm",Contact with other specified venomous animals,"tiep xuc voi xuc vat co noc doc khac, biet ro dac diem"
X28,Tiếp xúc với các cây độc khác biết rõ đặc điểm,Contact with other specified venomous plants,tiep xuc voi cac cay doc khac biet ro dac diem
X29,Tiếp xúc với xúc vật hay cây độc không rõ đặc điểm,Contact with unspecified venomous animal or plant,tiep xuc voi xuc vat hay cay doc khong ro dac diem
X30,Phơi nhiễm nhiệt thiên nhiên quá mức,Exposure to excessive natural heat,phoi nhiem nhiet thien nhien qua muc
X31,Phơi nhiễm lạnh thiên nhiên quá mức,Exposure to excessive natural cold,phoi nhiem lanh thien nhien qua muc
X32,Phơi nhiễm nắng,Exposure to sunlight,phoi nhiem nang
X33,Nạn nhân của chớp,Victim of lightning,nan nhan cua chop
X34,Nạn nhân động đất,Exposure to forces of nature,nan nhan dong dat
X34.0,Nạn nhân chuyển động lớn của đất do động đất gây ra,Victim of cataclysmic earth movements caused by earthquake,nan nhan chuyen dong lon cua dat do dong dat gay ra | nan nhan dong dat | nạn nhân động đất
X34.1,Nạn nhân sóng thần,Victim of tsunamI,nan nhan dong dat | nan nhan song than | nạn nhân động đất
X34.8,Nạn nhân các ảnh hưởng của động đất xác định khác,Victim of other specified effects of earthquake,nan nhan cac anh huong cua dong dat xac dinh khac | nan nhan dong dat | nạn nhân động đất
X34.9,Nạn nhân ảnh hưởng của động đất không xác định,Victim of unspecified effect of earthquake,nan nhan anh huong cua dong dat khong xac dinh | nan nhan dong dat | nạn nhân động đất
X35,Nạn nhân núi lửa phun,Victim of volcanic eruption,nan nhan nui lua phun
X36,"Nạn nhân tuyết lở, đất trượt, hoặc các chuyển động khác của đất","Victim of avalanche, landslide and other earth movements","nan nhan tuyet lo, dat truot, hoac cac chuyen dong khac cua dat"
X37,Nạn nhân của bão lớn,Victim of cataclysmic storm,nan nhan cua bao lon
X38,Nạn nhân của lụt,Victim of flood,nan nhan cua lut
X39,Phơi nhiễm các lực thiên nhiên khác không rõ đặc điểm,Exposure to other and unspecified forces of nature,phoi nhiem cac luc thien nhien khac khong ro dac diem
X40,"Tai nạn ngộ độc do phơi nhiễm với thuốc giảm đau không có thuốc phiện, hạ nhiệt và chống thấp khớp","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","tai nan ngo doc do phoi nhiem voi thuoc giam dau khong co thuoc phien, ha nhiet va chong thap khop"
X41,"Tai nạn ngộ độc do phơi nhiễm thuốc chống động kinh, an thần - gây ngủ, chống parkinson, tâm thần không được xếp loại ở nơi khác","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","tai nan ngo doc do phoi nhiem thuoc chong dong kinh, an than - gay ngu, chong parkinson, tam than khong duoc xep loai o noi khac"
X42,Tai nạn ngộ độc do phơi nhiễm thuốc ngủ và thuốc hưng thần (sinh hoang tưởng) không được xếp loại nơi khác,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",tai nan ngo doc do phoi nhiem thuoc ngu va thuoc hung than (sinh hoang tuong) khong duoc xep loai noi khac
X43,Tai nạn ngộ độc do phơi nhiễm thuốc khác tác động lên hệ thống thần kinh tự động,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,tai nan ngo doc do phoi nhiem thuoc khac tac dong len he thong than kinh tu dong
X44,Tai nạn ngộ độc do phơi nhiễm các thuốc và sinh chất không rõ đặc điểm,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",tai nan ngo doc do phoi nhiem cac thuoc va sinh chat khong ro dac diem
X45,Tai nạn ngộ độc và phơi nhiễm rượu,Accidental poisoning by and exposure to alcohol,tai nan ngo doc va phoi nhiem ruou
X46,Tai nạn ngộ do và phơi nhiễm dung môi hữu cơ và hydrat carbon halogen và các hơi của chúng,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,tai nan ngo do va phoi nhiem dung moi huu co va hydrat carbon halogen va cac hoi cua chung
X47,Tai nạn ngộ độc bởi và phơi nhiễm các khí và hơi khác,Accidental poisoning by and exposure to other gases and vapours,tai nan ngo doc boi va phoi nhiem cac khi va hoi khac
X48,Vô tình ngộ độc do và tiếp xúc với thuốc trừ sâu,Accidental poisoning by and exposure to pesticides,vo tinh ngo doc do va tiep xuc voi thuoc tru sau
X49,Tai nạn ngộ độc bởi và phơi nhiễm các chất hóa học và chất có hại khác không rõ đặc điểm,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,tai nan ngo doc boi va phoi nhiem cac chat hoa hoc va chat co hai khac khong ro dac diem
X50,"Cố gắng quá mức, và những động tác nặng nhọc hoặc lặp đi lặp lại",Overexertion and strenuous or repetitive movements,"co gang qua muc, va nhung dong tac nang nhoc hoac lap di lap lai"
X51,Du lịch và vận động,Travel and motion,du lich va van dong
X52,Ở lâu trong môi trường không trọng lượng,Prolonged stay in weightless environment,o lau trong moi truong khong trong luong
X53,Thiếu thức ăn,Lack of food,thieu thuc an
X54,Thiếu nước,Lack of water,thieu nuoc
X57,Thiếu thốn không rõ đặc điểm,Unspecified privation,thieu thon khong ro dac diem
X58,Phơi nhiễm các yếu tố khác có biết đặc điểm,Exposure to other specified factors,phoi nhiem cac yeu to khac co biet dac diem
X59,Phơi nhiễm các yếu tố không rõ đặc điểm,Exposure to unspecified factor,phoi nhiem cac yeu to khong ro dac diem
X59.0,Phơi nhiễm với yếu tố không rõ đặc điểm gây gãy xương,Exposure to unspecified factor causing fracture,phoi nhiem cac yeu to khong ro dac diem | phoi nhiem voi yeu to khong ro dac diem gay gay xuong | phơi nhiễm các yếu tố không rõ đặc điểm
X59.9,Phơi nhiễm với yếu tố không rõ đặc điểm và tổn thương không xác định,Exposure to unspecified factor causing other and unspecified injury,phoi nhiem cac yeu to khong ro dac diem | phoi nhiem voi yeu to khong ro dac diem va ton thuong khong xac dinh | phơi nhiễm các yếu tố không rõ đặc điểm
X60,Cố ý tự đầu độc bằng và phơi nhiễm chất giảm đau hạ sốt và chống thấp khớp không có thuốc phiện,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",co y tu dau doc bang va phoi nhiem chat giam dau ha sot va chong thap khop khong co thuoc phien
X61,"Cố tình tự đầu độc bằng và phơi nhiễm thuốc chống động kinh, an thần - gây ngủ, chống parkinson và thuốc tâm thần, không được xếp loại ở nơi khác","Intentional self-poisoning by and exposure to antiepileptic, sedative- hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","co tinh tu dau doc bang va phoi nhiem thuoc chong dong kinh, an than - gay ngu, chong parkinson va thuoc tam than, khong duoc xep loai o noi khac"
X62,Cố tình tự đầu độc bằng và phơi nhiễm thuốc mê và hưng phấn tâm thần (gây hoang tưởng) không xếp loại ở chỗ khác,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",co tinh tu dau doc bang va phoi nhiem thuoc me va hung phan tam than (gay hoang tuong) khong xep loai o cho khac
X63,Cố tình tự đầu độc bằng và phơi nhiễm các thuốc khác tác dụng lên hệ thống thần kinh tự động,"Intentional self-poisoning by and
exposure to other drugs acting on
the autonomic nervous system",co tinh tu dau doc bang va phoi nhiem cac thuoc khac tac dung len he thong than kinh tu dong
X64,Cố tình tự đầu độc bằng và phơi nhiễm các thuốc và sinh chất không rõ đặc điểm khác,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",co tinh tu dau doc bang va phoi nhiem cac thuoc va sinh chat khong ro dac diem khac
X65,"Cố tình tự đầu độc bằng và phơi nhiễm dung môi hữu cơ,
hydrocacbon halogen và hơi của chúng",Intentional self-poisoning by and exposure to alcohol,"co tinh tu dau doc bang va phoi nhiem dung moi huu co,
hydrocacbon halogen va hoi cua chung"
X66,"Cố tình tự đầu độc bằng và phơi nhiễm dung môi hữu cơ,
hydrocacbon halogen và hơi của chúng",Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,"co tinh tu dau doc bang va phoi nhiem dung moi huu co,
hydrocacbon halogen va hoi cua chung"
X67,Cố tình tự đầu độc bằng và phơi nhiễm các khí và hơi khác,Intentional self-poisoning by and exposure to other gases and vapours,co tinh tu dau doc bang va phoi nhiem cac khi va hoi khac
X68,Cố tình tự đầu độc bằng và phơi nhiễm chất diệt súc vật,Intentional self-poisoning by and exposure to pesticides,co tinh tu dau doc bang va phoi nhiem chat diet suc vat
X69,Cố tình tự đầu độc bằng và phơi nhiễm các hóa chất và chất có hại khác không rõ đặc điểm,"Intentional self-poisoning by and
exposure to other and unspecified
chemicals and noxious substances",co tinh tu dau doc bang va phoi nhiem cac hoa chat va chat co hai khac khong ro dac diem
X70,"Cố tình tự hại bằng treo, làm nghẹt và ngạt thở","Intentional self-harm by hanging, strangulation and suffocation","co tinh tu hai bang treo, lam nghet va ngat tho"
X71,"Cố tình tự hại bằng nhảy xuống nước, trầm mình dưới nước",Intentional self-harm by drowning and submersion,"co tinh tu hai bang nhay xuong nuoc, tram minh duoi nuoc"
X72,Cố tình tự hại bằng đạn súng ngắn,Intentional self-harm by handgun discharge,co tinh tu hai bang dan sung ngan
X73,"Cố tình tự hại bằng súng trường, súng dài hơn","Intentional self-harm by rifle, shotgun and larger firearm discharge","co tinh tu hai bang sung truong, sung dai hon"
X74,Cố tình tự hại bằng súng khác không rõ đặc điểm,Intentional self-harm by other and unspecified firearm discharge,co tinh tu hai bang sung khac khong ro dac diem
X75,Cố tình tự hại bằng chất nổ,Intentional self-harm by explosive material,co tinh tu hai bang chat no
X76,"Cố tình tự hại bằng khói, cháy và lửa","Intentional self-harm by smoke, fire and flames","co tinh tu hai bang khoi, chay va lua"
X77,"Cố tình tự hại bằng hơi nước, hơi nóng và vật nóng","Intentional self-harm by steam, hot vapours and hot objects","co tinh tu hai bang hoi nuoc, hoi nong va vat nong"
X78,Cố tình tự hại bằng vật nhọn,Intentional self-harm by sharp object,co tinh tu hai bang vat nhon
X79,Cố tình tự hại bằng vật tầy,Intentional self-harm by blunt object,co tinh tu hai bang vat tay
X80,"Cố tình tự hại bằng nhảy từ 1 chỗ
cao",Intentional self-harm by jumping from a high place,"co tinh tu hai bang nhay tu 1 cho
cao"
X81,Cố tình tự hại bằng nhẩy hay nằm ra trước vật đang chuyển động,Intentional self-harm by jumping or lying before moving object,co tinh tu hai bang nhay hay nam ra truoc vat dang chuyen dong
X82,Cố tình tự hại bằng đâm xe động cơ,Intentional self-harm by crashing of motor vehicle,co tinh tu hai bang dam xe dong co
X83,Cố tình tự hại bằng các phương tiện khác có biết đặc điểm,Intentional self-harm by other specified means,co tinh tu hai bang cac phuong tien khac co biet dac diem
X84,Cố tình tự hại bằng các phương tiện không rõ đặc điểm,Intentional self-harm by unspecified means,co tinh tu hai bang cac phuong tien khong ro dac diem
X85,"Tấn công bằng thuốc, dược chất và chất sinh học","Assault by drugs, medicaments and biolocigal substances","tan cong bang thuoc, duoc chat va chat sinh hoc"
X86,Tấn công bằng chất ăn da,Assault by corrosive substance,tan cong bang chat an da
X87,Tấn công bằng chất diệt súc vật,Assault by pesticides,tan cong bang chat diet suc vat
X88,Tấn công bằng khí và hơi nước,Assault by gases and vapours,tan cong bang khi va hoi nuoc
X89,Tấn công bằng hóa chất hay chất có hại khác biết rõ đặc điểm,Assault by other specified chemicals and noxious substances,tan cong bang hoa chat hay chat co hai khac biet ro dac diem
X90,Tấn công bằng hóa chất hay chất có hại không rõ đặc điểm,Assault by other unspecified chemicals and noxious substances,tan cong bang hoa chat hay chat co hai khong ro dac diem
X91,"Tấn công bằng treo, làm nghẹt, ngạt thở","Assault by hanging, strangulation and suffocation","tan cong bang treo, lam nghet, ngat tho"
X92,"Tấn công bằng bỏ xuống nước, làm ngập nước",Assault by drowning and submersion,"tan cong bang bo xuong nuoc, lam ngap nuoc"
X93,Tấn công bằng đạn súng tay,Assault by handgun discharge,tan cong bang dan sung tay
X94,"Tấn công bằng súng trường, súng ngắn và súng lớn hơn","Assault by rifle, shotgun and larger firearm discharge","tan cong bang sung truong, sung ngan va sung lon hon"
X95,Tấn công bằng súng khác và không rõ đặc điểm,Assault by other and unspecified firearm discharge,tan cong bang sung khac va khong ro dac diem
X96,Tấn công bằng chất nổ,Assault by explosive material,tan cong bang chat no
X97,"Tấn công bằng khói, cháy và lửa","Assault by smoke, fire and flames","tan cong bang khoi, chay va lua"
X98,"Tấn công bằng hơi nước, hơi nước nóng và vật nóng","Assault by steam, hot vapours and hot objects","tan cong bang hoi nuoc, hoi nuoc nong va vat nong"
X99,"Tấn công bằng vật nhọn, sắc",Assault by sharp object,"tan cong bang vat nhon, sac"
Y00,Tấn công bằng vật tù,Assault by blunt object,tan cong bang vat tu
